"","id","stimuli","n","percent","lemma_dis","lemma_naming","source","agreement","dist","target"
"119",1515,"waldo_1",28,90.3225806451613,"mountain","fountain","moreno-martinez",83,0.0833333333333334,"mountain.jpg"
"120",1563,"wanderer",10,32.258064516129,"boat","bat","moreno-martinez",86,0.0833333333333334,"boat.jpg"
"121",1566,"wanderer",27,87.0967741935484,"bat","boat","moreno-martinez",96,0.0833333333333334,"bat.jpg"
"122",1576,"wanderer",11,35.4838709677419,"cane","can","boss",71,0.0833333333333334,"cane.jpg"
"123",1577,"wanderer",24,77.4193548387097,"cart","cat","moreno-martinez",75,0.0833333333333334,"cart.jpg"
"124",1577,"wanderer",24,77.4193548387097,"coat","cat","moreno-martinez",96,0.0833333333333334,"coat.jpg"
"125",1619,"wanderer",18,58.0645161290323,"hoe","hole","DR2",92.3076923,0.0833333333333334,"hoe_01_og.jpg"
"126",1623,"wanderer",15,48.3870967741936,"dice","ice","boss",97,0.0833333333333334,"dice05a.jpg"
"127",1623,"wanderer",15,48.3870967741936,"rice","ice","boss",92,0.0833333333333334,"rice.jpg"
"128",1664,"wanderer",14,45.1612903225806,"pie","pier","moreno-martinez",73,0.0833333333333334,"pie.jpg"
"129",1665,"wanderer",17,54.8387096774194,"pie","pipe","moreno-martinez",73,0.0833333333333334,"pie.jpg"
"130",1684,"wanderer",26,83.8709677419355,"seal","sea","brodeur",88,0.0833333333333334,"seal.jpg"
"131",1687,"wanderer",20,64.5161290322581,"sea","seal","moreno-martinez",93,0.0833333333333334,"sea.jpg"
"132",1699,"wanderer",13,41.9354838709677,"pot","spot","DR2",100,0.0833333333333334,"pot_01_og.jpg"
"133",1718,"wanderer",23,74.1935483870968,"tie","time","DR2",100,0.0833333333333334,"tie_02_og.jpg"
"134",14,"airport",11,35.4838709677419,"chard","card","moreno-martinez",72,0.0666666666666668,"chard.jpg"
"135",25,"airport",12,38.7096774193548,"horse","hose","brodeur",100,0.0666666666666668,"horse.jpg"
"136",25,"airport",12,38.7096774193548,"house","hose","moreno-martinez",93,0.0666666666666668,"house.jpg"
"137",48,"airport",11,35.4838709677419,"swing","wing","brodeur",98,0.0666666666666668,"swing.jpg"
"138",66,"ancient_rome",27,87.0967741935484,"lion","lions","brodeur",88,0.0666666666666668,"lion.jpg"
"139",78,"ancient_rome",12,38.7096774193548,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"140",93,"arrival_1",26,83.8709677419355,"lock","clock","DR2",100,0.0666666666666668,"lock_03_og.jpg"
"141",135,"arrival_1",15,48.3870967741936,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"142",210,"arrival_3",17,54.8387096774194,"lock","clock","DR2",100,0.0666666666666668,"lock_03_og.jpg"
"143",236,"arrival_3",16,51.6129032258064,"nail","snail","boss",78,0.0666666666666668,"nail.jpg"
"144",336,"arrival_4",16,51.6129032258064,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"145",403,"arrival_5",11,35.4838709677419,"medal","meal","DR2",100,0.0666666666666668,"medal_02_og.jpg"
"146",422,"arrival_5",14,45.1612903225806,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"147",523,"arrival_6",14,45.1612903225806,"broom","room","boss",94,0.0666666666666668,"broom01.jpg"
"148",527,"arrival_6",19,61.2903225806452,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"149",577,"being_a_pirate",12,38.7096774193548,"shoe","shore","boss",77,0.0666666666666668,"manshoe.jpg"
"150",578,"being_a_pirate",15,48.3870967741936,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"151",623,"birthday_party_fun",13,41.9354838709677,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"152",651,"by_the_lake",10,32.258064516129,"kite","kites","brodeur",98,0.0666666666666668,"kite.jpg"
"153",667,"by_the_lake",15,48.3870967741936,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"154",708,"campsite",23,74.1935483870968,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"155",781,"dinosaurs_spacemen_and_ghouls",18,58.0645161290323,"broom","room","boss",94,0.0666666666666668,"broom01.jpg"
"156",786,"dinosaurs_spacemen_and_ghouls",20,64.5161290322581,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"157",823,"escape_from_the_zoo",14,45.1612903225806,"lion","lions","brodeur",88,0.0666666666666668,"lion.jpg"
"158",837,"escape_from_the_zoo",11,35.4838709677419,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"159",871,"exhibit_12",10,32.258064516129,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"160",903,"flowerman",12,38.7096774193548,"lock","clock","DR2",100,0.0666666666666668,"lock_03_og.jpg"
"161",932,"flowerman",21,67.741935483871,"chair","hair","brodeur",88,0.0666666666666668,"chair.jpg"
"162",972,"flowerman",12,38.7096774193548,"broom","room","boss",94,0.0666666666666668,"broom01.jpg"
"163",973,"flowerman",23,74.1935483870968,"scale","sale","boss",84,0.0666666666666668,"scale01a.jpg"
"164",980,"flowerman",19,61.2903225806452,"slide","side","DR2",95.5,0.0666666666666668,"slide_02_og.jpg"
"165",1088,"journey",10,32.258064516129,"clock","lock","boss",92,0.0666666666666668,"clock04.jpg"
