"file","participant","session","stimuli","lemma"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","ship"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","original"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","paddle"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","boat"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","soldier"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","guy"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","gazelle"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","people"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","rampart"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","hold"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","background"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","minute"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","ago"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","top"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","archway"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","aqueduct"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","man"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","corner"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","coupler"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","towers"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","grand"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","evidence"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","close"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","treasure"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","circle"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","island"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","back"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","peninsula"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","temple"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","underwater"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","atlantis"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","management"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","palm"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","forest"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","flight"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","boats"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","way"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","distance"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","snow"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","mountain"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","angle"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","fist"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bumping"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","flipper"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","water"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","end"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","aqua"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","lung"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","diive"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","helmet"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","aqualung"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","ocean"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","inset"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","greek"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","ruin"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","shark"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","tower"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","colosseum"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","building"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bottom"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","swimm"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","coral"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bubble"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","part"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","towards"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","seashell"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","seahorse"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","clue"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bandolier"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","being"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","safety"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","tow"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","pursuit"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","no"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","detail"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","escape"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","adventure"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","desert"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bag"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","interior"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","drawing"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","hill"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","square"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","elephant"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","rhinocero"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","crayon"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","gouge"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","bandelier"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","intent"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","castellation"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","a"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","howda"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","pathway"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","quest-1","entrance"
