"stimuli","lemma","n","percent"
"arrival-4","moogie",1,100
"arrival-4","morning",1,100
"arrival-4","mouth",1,100
"arrival-4","neck",1,100
"arrival-4","need",1,100
"arrival-4","newspaper",1,100
"arrival-4","normal",1,100
"arrival-4","nose",1,100
"arrival-4","notebook",1,100
"arrival-4","notepad",1,100
"arrival-4","number",1,100
"arrival-4","octopuse",1,100
"arrival-4","on",1,100
"arrival-4","one",1,100
"arrival-4","onion",1,100
"arrival-4","oriental",1,100
"arrival-4","owl",1,100
"arrival-4","padde",1,100
"arrival-4","paddle",1,100
"arrival-4","padlock",1,100
"arrival-4","page",1,100
"arrival-4","palm",1,100
"arrival-4","paper",1,100
"arrival-4","parrot",1,100
"arrival-4","part",1,100
"arrival-4","party",1,100
"arrival-4","passengers",1,100
"arrival-4","passport",1,100
"arrival-4","path",1,100
"arrival-4","patient",1,100
"arrival-4","peculiar",1,100
"arrival-4","pedestrian",1,100
"arrival-4","people",1,100
"arrival-4","perhaps",1,100
"arrival-4","photograph",1,100
"arrival-4","picture",1,100
"arrival-4","piece",1,100
"arrival-4","pocket",1,100
"arrival-4","pod",1,100
"arrival-4","point",1,100
"arrival-4","pointy",1,100
"arrival-4","ponder",1,100
"arrival-4","popcorn",1,100
"arrival-4","portion",1,100
"arrival-4","poster",1,100
"arrival-4","pot",1,100
"arrival-4","prawn",1,100
"arrival-4","prisoner",1,100
"arrival-4","problem",1,100
"arrival-4","procession",1,100
"arrival-4","product",1,100
"arrival-4","proof",1,100
"arrival-4","purchase",1,100
"arrival-4","question",1,100
"arrival-4","rag",1,100
"arrival-4","railway",1,100
"arrival-4","range",1,100
"arrival-4","reader",1,100
"arrival-4","referee",1,100
"arrival-4","reptile",1,100
"arrival-4","right",1,100
"arrival-4","ripple",1,100
"arrival-4","road",1,100
"arrival-4","robot",1,100
"arrival-4","rotary",1,100
"arrival-4","row",1,100
"arrival-4","sailor",1,100
"arrival-4","sand",1,100
"arrival-4","scarf",1,100
"arrival-4","scene",1,100
"arrival-4","school",1,100
"arrival-4","screen",1,100
"arrival-4","sea",1,100
"arrival-4","sebia",1,100
"arrival-4","series",1,100
"arrival-4","shakes",1,100
"arrival-4","shaking",1,100
"arrival-4","ship",1,100
"arrival-4","shoe",1,100
"arrival-4","shoelace",1,100
"arrival-4","shoulder",1,100
"arrival-4","shoulders",1,100
"arrival-4","shovel",1,100
"arrival-4","show",1,100
"arrival-4","shy",1,100
"arrival-4","side",1,100
"arrival-4","sidewalk",1,100
"arrival-4","size",1,100
"arrival-4","sky",1,100
"arrival-4","smoke",1,100
"arrival-4","smokey",1,100
"arrival-4","smoking",1,100
"arrival-4","snake",1,100
"arrival-4","sort",1,100
"arrival-4","soul",1,100
"arrival-4","space",1,100
"arrival-4","spectacle",1,100
"arrival-4","square",1,100
"arrival-4","stage",1,100
"arrival-4","stair",1,100
"arrival-4","staircase",1,100
"arrival-4","stamp",1,100
"arrival-4","state",1,100
"arrival-4","station",1,100
"arrival-4","statue",1,100
"arrival-4","steam",1,100
"arrival-4","steamer",1,100
"arrival-4","strange",1,100
"arrival-4","street",1,100
"arrival-4","stuff",1,100
"arrival-4","subsidy",1,100
"arrival-4","suspender",1,100
"arrival-4","sweep",1,100
"arrival-4","t",1,100
"arrival-4","table",1,100
"arrival-4","tail",1,100
"arrival-4","tale",1,100
"arrival-4","team",1,100
"arrival-4","telephone",1,100
"arrival-4","tentacle",1,100
"arrival-4","thing",1,100
"arrival-4","thumb",1,100
"arrival-4","thumbnail",1,100
"arrival-4","ticket",1,100
"arrival-4","time",1,100
"arrival-4","top",1,100
"arrival-4","town",1,100
"arrival-4","traffic",1,100
"arrival-4","train",1,100
"arrival-4","transaction",1,100
"arrival-4","type",1,100
"arrival-4","uniform",1,100
"arrival-4","up",1,100
"arrival-4","vaculik",1,100
"arrival-4","variety",1,100
"arrival-4","victoria",1,100
"arrival-4","video",1,100
"arrival-4","wagon",1,100
"arrival-4","waist",1,100
"arrival-4","wall",1,100
"arrival-4","washing",1,100
"arrival-4","water",1,100
"arrival-4","way",1,100
"arrival-4","wicker",1,100
"arrival-4","wigwam",1,100
"arrival-4","woman",1,100
"arrival-4","wonder",1,100
"arrival-4","woolly",1,100
"arrival-4","word",1,100
"arrival-4","work",1,100
"arrival-4","workman",1,100
"being_a_pirate","assailant",1,100
"being_a_pirate","attacker",1,100
"being_a_pirate","background",1,100
"being_a_pirate","battle",1,100
"being_a_pirate","beach",1,100
"being_a_pirate","biotech",1,100
"being_a_pirate","bird",1,100
"being_a_pirate","board",1,100
"being_a_pirate","boat",1,100
"being_a_pirate","boats",1,100
"being_a_pirate","boom",1,100
"being_a_pirate","branch",1,100
"being_a_pirate","business",1,100
"being_a_pirate","cannon",1,100
"being_a_pirate","cannonball",1,100
"being_a_pirate","cloud",1,100
"being_a_pirate","colour",1,100
"being_a_pirate","control",1,100
"being_a_pirate","cross",1,100
"being_a_pirate","crossbone",1,100
"being_a_pirate","day",1,100
"being_a_pirate","defender",1,100
"being_a_pirate","examine",1,100
"being_a_pirate","fact",1,100
"being_a_pirate","flag",1,100
"being_a_pirate","foot",1,100
"being_a_pirate","golf",1,100
"being_a_pirate","green",1,100
"being_a_pirate","ground",1,100
"being_a_pirate","guy",1,100
"being_a_pirate","half",1,100
"being_a_pirate","hardship",1,100
"being_a_pirate","hit",1,100
"being_a_pirate","image",1,100
"being_a_pirate","industry",1,100
"being_a_pirate","island",1,100
"being_a_pirate","land",1,100
"being_a_pirate","larger",1,100
"being_a_pirate","lifeboats",1,100
"being_a_pirate","manner",1,100
"being_a_pirate","mask",1,100
"being_a_pirate","middle",1,100
"being_a_pirate","mouth",1,100
"being_a_pirate","one",1,100
"being_a_pirate","palm",1,100
"being_a_pirate","penguin",1,100
"being_a_pirate","people",1,100
"being_a_pirate","piece",1,100
"being_a_pirate","pirate",1,100
"being_a_pirate","place",1,100
"being_a_pirate","portion",1,100
"being_a_pirate","prisoner",1,100
"being_a_pirate","puffs",1,100
"being_a_pirate","rain",1,100
"being_a_pirate","rigging",1,100
"being_a_pirate","roger",1,100
"being_a_pirate","rowing",1,100
"being_a_pirate","rule",1,100
"being_a_pirate","sea",1,100
"being_a_pirate","see",1,100
"being_a_pirate","sheer",1,100
"being_a_pirate","ship",1,100
"being_a_pirate","shiver",1,100
