"Word","LgSUBTLCD","Age_Of_Acquisition","NPhon","Handcoded by RA","Comments","aoa","lf","LgSUBTLCD2","Age_Of_Acquisition2"
"gate","2.956",5.32,3,"NA",NA,"5.32",2.95568775031351,"2.956","5.32"
"gazebo","1.4770000000000001",9.76,6,"NA",NA,"9.76",1.47712125471966,"1.4770000000000001","9.76"
"ginger","2.31",8.05,5,"NA",NA,"8.0500000000000007",2.3096301674259,"2.31","8.05"
"glasses","3.004",4.346,6,"NA",NA,"4.3460850000000004",3.00389116623691,"3.004","4.346"
"globe","2.3199999999999998",6.5,4,"NA",NA,"6.5",2.32014628611105,"2.3199999999999998","6.5"
"gorilla","2.1960000000000002",5.74,6,"NA",NA,"5.74",2.19589965240923,"2.1960000000000002","5.74"
"grapes","2.1139999999999999",3.94,5,"NA",NA,NA,2.11394335230684,"2.1139999999999999","3.94"
"grasshopper","1.5680000000000001",5.78,8,"NA",NA,"5.78",1.568201724067,"1.5680000000000001","5.78"
"grenade","2.19",9.72,6,"NA",NA,"9.7200000000000006",2.19033169817029,"2.19","9.72"
"grill","2.2599999999999998",6.53,4,"NA",NA,"6.53",2.26007138798507,"2.2599999999999998","6.53"
"guitar","2.5339999999999998",5.32,5,"NA",NA,"5.32",2.53402610605613,"2.5339999999999998","5.32"
"gun","3.4740000000000002",5.58,3,"NA",NA,"5.58",3.47377883464672,"3.4740000000000002","5.58"
"hammer","2.5979999999999999",5.42,4,"NA",NA,"5.42",2.59769518592551,"2.5979999999999999","5.42"
"hammock","1.623",7.11,5,"NA",NA,"7.11",1.6232492903979,"1.623","7.11"
"hand","3.7450000000000001",2.74,4,"NA",NA,"2.74",3.74530905994083,"3.7450000000000001","2.74"
"handcuffs","2.34",6.28,8,"NA",NA,"6.28",2.34044411484012,"2.34","6.28"
"hanger","1.74",6.78,4,"NA",NA,"6.78",1.74036268949424,"1.74","6.78"
"harmonica","1.653",7.32,9,"NA",NA,"7.32",1.65321251377534,"1.653","7.32"
"harp","1.9139999999999999",7.55,4,"NA",NA,"7.55",1.91381385238372,"1.9139999999999999","7.55"
"hat","3.238",3.33,3,"NA",NA,"3.33",3.23779499327392,"3.238","3.33"
"headphones","1.806",7.74,7,"NA",NA,"7.74",1.80617997398389,"1.806","7.74"
"helicopter","2.6539999999999999",5.26,9,"NA",NA,"5.26",2.65417654187796,"2.6539999999999999","5.26"
"helmet","2.4830000000000001",5.71,6,"NA",NA,"5.71",2.48287358360875,"2.4830000000000001","5.71"
"hen","2.0329999999999999",6.39,3,"NA",NA,"6.39",2.03342375548695,"2.0329999999999999","6.39"
"hinge","1.4470000000000001",7.95,4,"NA",NA,"7.95",1.44715803134222,"1.4470000000000001","7.95"
"hippopotamus","1.2789999999999999",7,11,"NA",NA,"7",1.27875360095283,"1.2789999999999999","7"
"hoe","1.462",8.72,2,"NA",NA,"8.7200000000000006",1.46239799789896,"1.462","8.72"
"horse","3.198",4.15,4,"NA",NA,"4.1500000000000004",3.1981069988734,"3.198","4.15"
"horseshoe","1.613",5.85,6,"NA",NA,"5.85",1.61278385671974,"1.613","5.85"
"house","3.7810000000000001",3.16,3,"NA",NA,"3.16",3.78110883572947,"3.7810000000000001","3.16"
"hummingbird","1.38",6.95,8,"NA",NA,"6.95",1.38021124171161,"1.38","6.95"
"iceberg","1.909",8.21,5,"NA",NA,"8.2100000000000009",1.90848501887865,"1.909","8.21"
"icecube","#",NA,6,"NA",NA,NA,NA,"#",NA
"icepack","#",6.89,5,"NA",NA,"6.89",NA,"#","6.89"
"igloo","1.1759999999999999",5.42,4,"NA",NA,"5.42",1.17609125905568,"1.1759999999999999","5.42"
"iron","2.7949999999999999",7.32,3,"NA",NA,"7.32",2.79448804665917,"2.7949999999999999","7.32"
"island","2.8359999999999999",7.41,5,"NA",NA,"7.41",2.83569057149243,"2.8359999999999999","7.41"
"jacket","2.988",3.95,5,"NA",NA,"3.95",2.98766626492627,"2.988","3.95"
"jar","2.4740000000000002",5.44,3,"NA",NA,"5.44",2.47421626407626,"2.4740000000000002","5.44"
"jeans","2.387",5.26,4,"NA",NA,"5.26",2.38738982633873,"2.387","5.26"
"jeep","2.38",6.32,3,"NA",NA,"6.32",2.38021124171161,"2.38","6.32"
"jellyfish","1.613",6.61,7,"NA",NA,"6.61",1.61278385671974,"1.613","6.61"
"kangaroo","1.778",5.55,7,"NA",NA,"5.55",1.77815125038364,"1.778","5.55"
"key","3.3359999999999999",3.58,2,"NA",NA,"3.58",3.3356584522893,"3.3359999999999999","3.58"
"keyboard","1.8260000000000001",9.32,6,"NA",NA,"9.32",1.82607480270083,"1.8260000000000001","9.32"
"keys","3.1549999999999998",3.58,3,"NA",NA,NA,3.15472820744016,"3.1549999999999998","3.58"
"kite","1.887",4.58,3,"NA",NA,"4.58",1.88649072517248,"1.887","4.58"
"kiwi","1.38",7.56,4,"NA",NA,"7.56",1.38021124171161,"1.38","7.56"
"knee","2.7280000000000002",4.42,2,"NA",NA,"4.42",2.72754125702856,"2.7280000000000002","4.42"
"knife","3.0990000000000002",4.15,3,"NA",NA,"4.1500000000000004",3.09898963940118,"3.0990000000000002","4.15"
"ladder","2.4969999999999999",4.399,4,"NA",NA,"4.3993700000000002",2.49692964807321,"2.4969999999999999","4.399"
"ladle","1.4470000000000001",9.83,4,"NA",NA,"9.83",1.44715803134222,"1.4470000000000001","9.83"
"ladybird","0.84499999999999997",10.53,7,"NA",NA,"10.53",0.845098040014257,"0.84499999999999997","10.53"
