"stimuli","origin","n","percent","source","agreement"
"journey","castle",23,0.71875,"dr2",100
"journey","cat",27,0.84375,"brodeur",88
"journey","chair",12,0.375,"brodeur",88
"journey","circle",26,0.8125,NA,NA
"journey","city",20,0.625,"dr2",74.1
"journey","cloud",16,0.5,"brodeur",95
"journey","clouds",11,0.34375,NA,NA
"journey","computer",28,0.875,NA,NA
"journey","couch",23,0.71875,"dr2",100
"journey","couple",12,0.375,NA,NA
"journey","crayon",13,0.40625,"boss",82
"journey","dock",19,0.59375,NA,NA
"journey","dome",13,0.40625,NA,NA
"journey","door",28,0.875,NA,NA
"journey","doorway",14,0.4375,NA,NA
"journey","dragon",13,0.40625,NA,NA
"journey","edge",19,0.59375,NA,NA
"journey","fire",11,0.34375,NA,NA
"journey","floor",23,0.71875,"dr2",100
"journey","forest",23,0.71875,NA,NA
"journey","girl",24,0.75,NA,NA
"journey","gold",11,0.34375,NA,NA
"journey","ground",11,0.34375,NA,NA
"journey","hand",23,0.71875,"brodeur",81
"journey","head",11,0.34375,NA,NA
"journey","home",21,0.65625,NA,NA
"journey","hydrant",11,0.34375,NA,NA
"journey","iphone",23,0.71875,NA,NA
"journey","kitchen",24,0.75,NA,NA
"journey","kite",24,0.75,"brodeur",98
"journey","ladder",20,0.625,"dr2",100
"journey","lady",14,0.4375,NA,NA
"journey","lamp",12,0.375,"boss",92
"journey","land",13,0.40625,NA,NA
"journey","lantern",22,0.6875,NA,NA
"journey","light",26,0.8125,NA,NA
"journey","machine",13,0.40625,NA,NA
"journey","mailbox",24,0.75,"brodeur, dr2",100
"journey","man",19,0.59375,NA,NA
"journey","map",11,0.34375,NA,NA
"journey","marker",11,0.34375,"boss",82
"journey","moat",14,0.4375,NA,NA
"journey","mom",14,0.4375,NA,NA
"journey","net",16,0.5,NA,NA
"journey","night",18,0.5625,NA,NA
"journey","paddle",11,0.34375,NA,NA
"journey","page",15,0.46875,NA,NA
"journey","palm",25,0.78125,NA,NA
"journey","papers",16,0.5,NA,NA
"journey","people",21,0.65625,NA,NA
"journey","person",14,0.4375,NA,NA
"journey","picture",20,0.625,NA,NA
"journey","propeller",11,0.34375,NA,NA
"journey","rectangle",15,0.46875,NA,NA
"journey","river",15,0.46875,NA,NA
"journey","riverboat",20,0.625,NA,NA
"journey","room",26,0.8125,NA,NA
"journey","scooter",24,0.75,"brodeur",90
"journey","shoulder",18,0.5625,NA,NA
"journey","sky",24,0.75,NA,NA
"journey","star",18,0.5625,NA,NA
"journey","step",17,0.53125,NA,NA
"journey","street",21,0.65625,NA,NA
"journey","string",11,0.34375,NA,NA
"journey","tail",12,0.375,NA,NA
"journey","tower",15,0.46875,"mm",78
"journey","towers",11,0.34375,NA,NA
"journey","tree",28,0.875,"brodeur",95
"journey","wall",26,0.8125,NA,NA
"journey","water",25,0.78125,NA,NA
"journey","waterfall",23,0.71875,"brodeur",95
"journey","wheel",19,0.59375,"boss",82
"journey","window",12,0.375,"brodeur",82
"journey","world",12,0.375,NA,NA
"make_a_splash","bikini",12,0.375,NA,NA
"make_a_splash","bridge",12,0.375,"brodeur",90
"make_a_splash","dragon",20,0.625,NA,NA
"make_a_splash","elephant",20,0.625,"brodeur",95
"make_a_splash","float",21,0.65625,NA,NA
"make_a_splash","gun",14,0.4375,"mm",90
"make_a_splash","kid",21,0.65625,NA,NA
"make_a_splash","lake",14,0.4375,NA,NA
"make_a_splash","lifeguard",19,0.59375,NA,NA
"make_a_splash","lot",21,0.65625,NA,NA
"make_a_splash","park",24,0.75,NA,NA
"make_a_splash","penguin",11,0.34375,"mm",99
"make_a_splash","people",28,0.875,NA,NA
"make_a_splash","pool",15,0.46875,"dr2",100
"make_a_splash","rainbow",11,0.34375,NA,NA
"make_a_splash","serpent",14,0.4375,NA,NA
"make_a_splash","serpents",13,0.40625,NA,NA
"make_a_splash","ship",21,0.65625,"mm",74
"make_a_splash","slide",28,0.875,"dr2",95.5
"make_a_splash","water",28,0.875,NA,NA
"picture_this","adult",18,0.5625,NA,NA
"picture_this","bear",12,0.375,"dr2",100
"picture_this","cactus",13,0.40625,"brodeur",93
"picture_this","cap",15,0.46875,"mm",96
"picture_this","caveman",19,0.59375,NA,NA
"picture_this","dog",23,0.71875,NA,NA
"picture_this","dragon",15,0.46875,NA,NA
"picture_this","drawing",28,0.875,NA,NA
"picture_this","face",13,0.40625,NA,NA
"picture_this","fellow",27,0.84375,NA,NA
"picture_this","fellows",26,0.8125,NA,NA
"picture_this","fish",18,0.5625,"brodeur",90
"picture_this","frame",12,0.375,NA,NA
"picture_this","hand",24,0.75,"brodeur",81
"picture_this","hat",15,0.46875,"dr2",100
"picture_this","head",22,0.6875,NA,NA
"picture_this","human",17,0.53125,NA,NA
"picture_this","lady",12,0.375,NA,NA
"picture_this","lot",13,0.40625,NA,NA
"picture_this","palm",19,0.59375,NA,NA
"picture_this","people",23,0.71875,NA,NA
"picture_this","photo",24,0.75,NA,NA
"picture_this","shirt",14,0.4375,"mm",99
"picture_this","tree",23,0.71875,"brodeur",95
"picture_this","wrestler",15,0.46875,NA,NA
"quest","aqueduct",13,0.40625,NA,NA
"quest","balloon",11,0.34375,"boss",87
"quest","belt",16,0.5,"boss",95
"quest","bench",20,0.625,"brodeur",76
"quest","bird",28,0.875,"dr2",100
"quest","boy",29,0.90625,NA,NA
"quest","bridge",29,0.90625,"brodeur",90
"quest","cage",16,0.5,NA,NA
"quest","castle",25,0.78125,"dr2",100
"quest","child",18,0.5625,NA,NA
"quest","circle",23,0.71875,NA,NA
"quest","city",26,0.8125,"dr2",74.1
"quest","confier",26,0.8125,NA,NA
"quest","conifer",26,0.8125,NA,NA
"quest","crayon",17,0.53125,"boss",82
"quest","creature",12,0.375,NA,NA
"quest","crown",29,0.90625,"brodeur",88
"quest","door",29,0.90625,NA,NA
"quest","doorway",17,0.53125,NA,NA
"quest","dragonfly",22,0.6875,"brodeur",76
"quest","fire",19,0.59375,NA,NA
"quest","fish",17,0.53125,"brodeur",90
"quest","flipper",19,0.59375,NA,NA
"quest","foot",12,0.375,NA,NA
"quest","gaslamp",26,0.8125,NA,NA
"quest","gear",12,0.375,NA,NA
"quest","girl",23,0.71875,NA,NA
"quest","ground",17,0.53125,NA,NA
"quest","guard",19,0.59375,NA,NA
"quest","hand",23,0.71875,"brodeur",81
"quest","head",19,0.59375,NA,NA
"quest","helmet",14,0.4375,"dr2",100
"quest","island",19,0.59375,"mm",84
"quest","key",28,0.875,"boss",97
"quest","kid",17,0.53125,NA,NA
"quest","king",26,0.8125,NA,NA
"quest","land",16,0.5,NA,NA
"quest","lot",19,0.59375,NA,NA
"quest","magic",12,0.375,NA,NA
"quest","man",20,0.625,NA,NA
"quest","map",28,0.875,NA,NA
"quest","moat",13,0.40625,NA,NA
"quest","momument",25,0.78125,NA,NA
"quest","monument",25,0.78125,NA,NA
"quest","mountain",26,0.8125,"mm",83
"quest","orange",13,0.40625,"boss",100
"quest","page",20,0.625,NA,NA
"quest","palm",23,0.71875,NA,NA
"quest","park",24,0.75,NA,NA
"quest","people",25,0.78125,NA,NA
"quest","person",12,0.375,NA,NA
"quest","picture",20,0.625,NA,NA
"quest","purple",23,0.71875,NA,NA
"quest","pyramid",12,0.375,"mm",84
"quest","rain",19,0.59375,NA,NA
"quest","rainbow",29,0.90625,NA,NA
"quest","rock",25,0.78125,NA,NA
"quest","rope",22,0.6875,"boss",86
"quest","scene",14,0.4375,NA,NA
"quest","scuba",13,0.40625,NA,NA
"quest","sea",15,0.46875,"mm",93
"quest","seahorse",19,0.59375,"dr2",96.4
"quest","seat",11,0.34375,NA,NA
"quest","ship",14,0.4375,"mm",74
"quest","shoulder",20,0.625,NA,NA
"quest","sky",22,0.6875,NA,NA
"quest","soldier",17,0.53125,"dr2",75
"quest","spear",17,0.53125,"brodeur",75
"quest","swing",25,0.78125,"brodeur",98
"quest","tail",12,0.375,NA,NA
"quest","tank",14,0.4375,"dr2",95.1
"quest","temple",15,0.46875,NA,NA
"quest","tentacle",14,0.4375,NA,NA
"quest","time",13,0.40625,NA,NA
"quest","tower",17,0.53125,"mm",78
"quest","underwater",14,0.4375,NA,NA
"quest","water",29,0.90625,NA,NA
"quest","waterfall",18,0.5625,"brodeur",95
"quest","wheel",15,0.46875,"boss",82
"quest","wing",18,0.5625,NA,NA
"quest","world",11,0.34375,NA,NA
"return","arm",20,0.625,"mm",96
"return","balloon",14,0.4375,"boss",87
"return","bed",15,0.46875,"brodeur",81
"return","bedroom",19,0.59375,NA,NA
"return","bird",29,0.90625,"dr2",100
"return","board",11,0.34375,NA,NA
"return","boat",28,0.875,"mm",86
"return","box",21,0.65625,"dr2",95.4545455
"return","boy",26,0.8125,NA,NA
"return","bridge",19,0.59375,"brodeur",90
"return","brook",18,0.5625,NA,NA
"return","butterfly",14,0.4375,"mm",99
"return","cage",27,0.84375,NA,NA
"return","castle",26,0.8125,"dr2",100
"return","cat",15,0.46875,"brodeur",88
"return","cave",28,0.875,NA,NA
"return","chair",15,0.46875,"brodeur",88
"return","crayon",20,0.625,"boss",82
"return","crown",24,0.75,"brodeur",88
"return","desk",12,0.375,NA,NA
"return","dock",23,0.71875,NA,NA
"return","door",29,0.90625,NA,NA
"return","doorway",13,0.40625,NA,NA
"return","dragon",20,0.625,NA,NA
"return","dragonfly",11,0.34375,"brodeur",76
"return","draw",13,0.40625,NA,NA
"return","drawing",22,0.6875,NA,NA
"return","eye",13,0.40625,"brodeur",76
"return","feather",20,0.625,"boss",100
"return","fellow",25,0.78125,NA,NA
"return","fish",18,0.5625,"brodeur",90
"return","forest",22,0.6875,NA,NA
"return","gentleman",25,0.78125,NA,NA
"return","girl",21,0.65625,NA,NA
"return","guard",12,0.375,NA,NA
"return","guy",14,0.4375,NA,NA
"return","hand",25,0.78125,"brodeur",81
"return","head",22,0.6875,NA,NA
"return","horse",14,0.4375,"brodeur",100
"return","house",22,0.6875,"mm",93
"return","king",26,0.8125,NA,NA
"return","kitchen",19,0.59375,NA,NA
"return","kite",29,0.90625,"brodeur",98
"return","lamp",11,0.34375,"boss",92
"return","lantern",23,0.71875,NA,NA
"return","light",26,0.8125,NA,NA
"return","lot",18,0.5625,NA,NA
"return","marker",11,0.34375,"boss",82
"return","moon",15,0.46875,"mm",95
"return","periscope",13,0.40625,NA,NA
"return","picture",25,0.78125,NA,NA
"return","plant",12,0.375,"boss",84
"return","river",14,0.4375,NA,NA
"return","rock",14,0.4375,NA,NA
"return","ship",12,0.375,"mm",74
"return","sink",12,0.375,"dr2",97.6190476
"return","sky",19,0.59375,NA,NA
"return","soldier",13,0.40625,"dr2",75
"return","stair",20,0.625,NA,NA
"return","submarine",28,0.875,"dr2",100
"return","sword",27,0.84375,"mm",97
"return","table",15,0.46875,"brodeur",81
"return","tail",22,0.6875,NA,NA
"return","throne",12,0.375,NA,NA
"return","tree",24,0.75,"brodeur",95
"return","wall",29,0.90625,NA,NA
"return","wing",21,0.65625,NA,NA
"unfriendly_giants","belt",17,0.53125,"boss",95
"unfriendly_giants","board",11,0.34375,NA,NA
"unfriendly_giants","castle",20,0.625,"dr2",100
"unfriendly_giants","chess",24,0.75,NA,NA
"unfriendly_giants","female",19,0.59375,NA,NA
"unfriendly_giants","flower",18,0.5625,"brodeur, brodeur",89
"unfriendly_giants","gentleman",16,0.5,NA,NA
"unfriendly_giants","giant",28,0.875,NA,NA
"unfriendly_giants","giants",14,0.4375,NA,NA
"unfriendly_giants","ground",11,0.34375,NA,NA
"unfriendly_giants","hammer",12,0.375,"boss",100
"unfriendly_giants","hat",11,0.34375,"dr2",100
"unfriendly_giants","head",15,0.46875,NA,NA
"unfriendly_giants","home",22,0.6875,NA,NA
"unfriendly_giants","people",26,0.8125,NA,NA
"unfriendly_giants","picture",12,0.375,NA,NA
"unfriendly_giants","rope",18,0.5625,"boss",86
"unfriendly_giants","straw",20,0.625,"boss",83
"unfriendly_giants","tree",24,0.75,"brodeur",95
"unfriendly_giants","water",20,0.625,NA,NA
"unfriendly_giants","windmill",24,0.75,"brodeur, dr2",100
"wanderer","airplane",23,0.71875,"dr2",95.4545455
"wanderer","anchor",15,0.46875,"brodeur",93
"wanderer","animal",21,0.65625,NA,NA
"wanderer","arch",13,0.40625,NA,NA
"wanderer","arm",16,0.5,"mm",96
"wanderer","ball",11,0.34375,"mm",89
"wanderer","bird",28,0.875,"dr2",100
"wanderer","boat",28,0.875,"mm",86
"wanderer","bottle",17,0.53125,"dr2",90.9090909
"wanderer","boy",13,0.40625,NA,NA
"wanderer","branch",11,0.34375,NA,NA
"wanderer","bridge",19,0.59375,"brodeur",90
"wanderer","building",23,0.71875,NA,NA
"wanderer","buoy",20,0.625,NA,NA
"wanderer","can",11,0.34375,NA,NA
"wanderer","cave",16,0.5,NA,NA
"wanderer","city",24,0.75,"dr2",74.1
"wanderer","claw",14,0.4375,NA,NA
"wanderer","cloud",15,0.46875,"brodeur",95
"wanderer","coral",18,0.5625,NA,NA
"wanderer","costume",14,0.4375,NA,NA
"wanderer","couple",23,0.71875,NA,NA
"wanderer","crane",25,0.78125,NA,NA
"wanderer","deer",12,0.375,"dr2",100
"wanderer","diver",22,0.6875,NA,NA
"wanderer","dock",17,0.53125,NA,NA
"wanderer","eel",15,0.46875,NA,NA
"wanderer","elephant",21,0.65625,"brodeur",95
"wanderer","face",13,0.40625,NA,NA
"wanderer","fin",18,0.5625,NA,NA
"wanderer","fins",15,0.46875,NA,NA
"wanderer","fish",28,0.875,"brodeur",90
"wanderer","fishing",27,0.84375,NA,NA
"wanderer","flag",13,0.40625,"brodeur",71
"wanderer","flower",13,0.40625,"brodeur, brodeur",89
"wanderer","folk",28,0.875,NA,NA
"wanderer","foot",17,0.53125,NA,NA
"wanderer","gentleman",24,0.75,NA,NA
"wanderer","guy",24,0.75,NA,NA
"wanderer","hand",25,0.78125,"brodeur",81
"wanderer","hat",23,0.71875,"dr2",100
"wanderer","head",25,0.78125,NA,NA
"wanderer","helmet",14,0.4375,"dr2",100
"wanderer","hole",20,0.625,NA,NA
"wanderer","horn",24,0.75,NA,NA
"wanderer","house",21,0.65625,"mm",93
"wanderer","human",28,0.875,NA,NA
"wanderer","humankind",28,0.875,NA,NA
"wanderer","ice",17,0.53125,NA,NA
"wanderer","iceberg",21,0.65625,"mm",81
"wanderer","island",14,0.4375,"mm",84
"wanderer","jellyfish",24,0.75,"brodeur",95
"wanderer","kite",22,0.6875,"brodeur",98
"wanderer","land",19,0.59375,NA,NA
"wanderer","leg",19,0.59375,NA,NA
"wanderer","light",27,0.84375,NA,NA
"wanderer","lighthouse",27,0.84375,"dr2",100
"wanderer","lightning",11,0.34375,NA,NA
"wanderer","lion",12,0.375,"brodeur",88
"wanderer","lobster",23,0.71875,"dr2",100
"wanderer","manta",13,0.40625,NA,NA
"wanderer","moon",25,0.78125,"mm",95
"wanderer","mouth",16,0.5,"mm",76
"wanderer","net",20,0.625,NA,NA
"wanderer","nose",15,0.46875,"brodeur",88
"wanderer","ocean",22,0.6875,NA,NA
"wanderer","oceanscape",27,0.84375,NA,NA
"wanderer","page",18,0.5625,NA,NA
"wanderer","paper",27,0.84375,"dr2",72.7
"wanderer","pearl",11,0.34375,NA,NA
"wanderer","picture",20,0.625,NA,NA
"wanderer","pier",14,0.4375,NA,NA
"wanderer","pipe",16,0.5,"brodeur",83
"wanderer","plant",19,0.59375,"boss",84
"wanderer","pole",15,0.46875,NA,NA
"wanderer","propeller",16,0.5,NA,NA
"wanderer","reef",16,0.5,NA,NA
"wanderer","river",11,0.34375,NA,NA
"wanderer","rock",11,0.34375,NA,NA
"wanderer","rocket",15,0.46875,"dr2",86.3636364
"wanderer","roof",11,0.34375,"dr2",90.9
"wanderer","root",14,0.4375,NA,NA
"wanderer","rope",11,0.34375,"boss",86
"wanderer","sail",23,0.71875,NA,NA
"wanderer","sailboat",22,0.6875,"dr2",85.7
"wanderer","school",22,0.6875,NA,NA
"wanderer","scuba",13,0.40625,NA,NA
"wanderer","sea",27,0.84375,"mm",93
"wanderer","seagull",12,0.375,"mm",83
"wanderer","seahorse",28,0.875,"dr2",96.4
"wanderer","seal",21,0.65625,"brodeur",88
"wanderer","shape",14,0.4375,NA,NA
"wanderer","shell",13,0.40625,NA,NA
"wanderer","ship",26,0.8125,"mm",74
"wanderer","shirt",15,0.46875,"mm",99
"wanderer","shower",13,0.40625,"dr2",96.7741935
"wanderer","sky",27,0.84375,NA,NA
"wanderer","smoke",22,0.6875,NA,NA
"wanderer","snake",17,0.53125,"mm",92
"wanderer","squid",11,0.34375,"brodeur",88
"wanderer","stair",15,0.46875,NA,NA
"wanderer","star",24,0.75,NA,NA
"wanderer","step",16,0.5,NA,NA
"wanderer","storm",14,0.4375,NA,NA
"wanderer","street",16,0.5,NA,NA
"wanderer","stripe",12,0.375,NA,NA
"wanderer","submarine",26,0.8125,"dr2",100
"wanderer","suit",17,0.53125,NA,NA
"wanderer","sun",14,0.4375,"mm",75
"wanderer","swordfish",12,0.375,"brodeur",83
"wanderer","tail",17,0.53125,NA,NA
"wanderer","tank",12,0.375,"dr2",95.1
"wanderer","tentacle",20,0.625,NA,NA
"wanderer","tooth",12,0.375,NA,NA
"wanderer","tree",27,0.84375,"brodeur",95
"wanderer","tunnel",17,0.53125,NA,NA
"wanderer","turtle",27,0.84375,"dr2",95.2380952
"wanderer","water",28,0.875,NA,NA
"wanderer","wave",28,0.875,"mm",89
"wanderer","whale",28,0.875,NA,NA
"wanderer","wheel",11,0.34375,"boss",82
"wanderer","window",16,0.5,"brodeur",82
"wanderer","wing",16,0.5,NA,NA
"wanderer","zebra",13,0.40625,"mm",99
"wild_west","artwork",23,0.71875,NA,NA
"wild_west","bag",14,0.4375,NA,NA
"wild_west","bank",26,0.8125,NA,NA
"wild_west","bison",12,0.375,NA,NA
"wild_west","buggy",26,0.8125,NA,NA
"wild_west","building",18,0.5625,NA,NA
"wild_west","cowboy",23,0.71875,NA,NA
"wild_west","gentleman",19,0.59375,NA,NA
"wild_west","gun",11,0.34375,"mm",90
"wild_west","hand",12,0.375,"brodeur",81
"wild_west","hat",14,0.4375,"dr2",100
"wild_west","horse",26,0.8125,"brodeur",100
"wild_west","hotel",29,0.90625,NA,NA
"wild_west","jail",27,0.84375,NA,NA
"wild_west","ladder",12,0.375,"dr2",100
"wild_west","locomotive",28,0.875,NA,NA
"wild_west","lot",22,0.6875,NA,NA
"wild_west","page",12,0.375,NA,NA
"wild_west","people",30,0.9375,NA,NA
"wild_west","photo",22,0.6875,NA,NA
"wild_west","postage",15,0.46875,NA,NA
"wild_west","roof",17,0.53125,"dr2",90.9
"wild_west","saloon",30,0.9375,NA,NA
"wild_west","shirt",16,0.5,"mm",99
"wild_west","shop",16,0.5,NA,NA
"wild_west","stable",13,0.40625,NA,NA
"wild_west","street",13,0.40625,NA,NA
"wild_west","sunset",17,0.53125,NA,NA
"wild_west","top",16,0.5,NA,NA
"journey","firehydrant",11,34.375,"dr2",100
"wanderer","fishingpole",17,53.125,"dr2",94.2857143
"escape_from_the_zoo","hotdog",18,56.25,"brodeur",74
"escape_from_the_zoo","icecreamcone",12,37.5,"dr2",90
"flowerman","lawnmower",15,46.875,"brodeur",98
"being_a_pirate","palmtree",17,53.125,"mm",97
"journey","palmtree",25,78.125,"mm",97
"picture_this","palmtree",19,59.375,"mm",97
"quest","palmtree",24,75,"mm",97
"wanderer","paperairplane",21,65.625,NA,NA
"escape_from_the_zoo","polarbear",25,78.125,"brodeur",90
