"Word","LgSUBTLCD","Age_Of_Acquisition","NPhon","Handcoded by RA","Comments","LgSUBTLCD2","Age_Of_Acquisition2"
"pie","2.8980000000000001",3.67,2,"NA",NA,"2.8980000000000001","3.67"
"pig","3.024",3.84,3,"NA",NA,"3.024","3.84"
"pigeon","2.2599999999999998",6.21,5,"NA",NA,"2.2599999999999998","6.21"
"piggybank","#",5.508,8,"NA",NA,"#","5.508"
"pill","2.589",6.06,3,"NA",NA,"2.589","6.06"
"pillow","2.657",3.47,4,"NA",NA,"2.657","3.47"
"pincers","0.84499999999999997",NA,6,"NA",NA,"0.84499999999999997",NA
"pineapple","1.8979999999999999",6.25,6,"NA",NA,"1.8979999999999999","6.25"
"pipe","2.8090000000000002",8.17,3,"NA",NA,"2.8090000000000002","8.17"
"pistachio","1.38",8.74,8,"NA",NA,"1.38","8.74"
"pitcher","2.0329999999999999",6.42,4,"NA",NA,"2.0329999999999999","6.42"
"pitchfork","1.462",6.89,7,"NA",NA,"1.462","6.89"
"pizza","2.9249999999999998",4.67,5,"NA",NA,"2.9249999999999998","4.67"
"plant","2.92",3.95,5,"NA",NA,"2.92","3.95"
"plate","2.9670000000000001",3.84,4,"NA",NA,"2.9670000000000001","3.84"
"platypus","0.60199999999999998",7.71,8,"NA",NA,"0.60199999999999998","7.71"
